                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.60037,                 1.0194,                 0.9473,                 0.8204,                0.74472,                0.83822,                0.65921,                0.88162,                 1.7518,                 1.0609,              0.0001577,              0.0001577,              0.0001577
                     36,                0.63943,                 1.0386,                0.97228,                0.76155,                0.74752,                0.80316,                0.64484,                0.82203,                 1.7405,                 1.0404,             0.00014869,             0.00014869,             0.00014869
                     37,                0.59091,                0.92992,                0.93678,                0.76012,                0.77753,                0.79421,                0.65032,                 0.8288,                 1.7626,                 1.0526,             0.00013969,             0.00013969,             0.00013969
                     38,                0.57519,                0.96126,                0.94111,                 0.8818,                0.70443,                0.81707,                 0.6413,                0.86429,                 1.8154,                 1.0661,             0.00013068,             0.00013068,             0.00013068
                     39,                0.56689,                0.93539,                0.93234,                0.90269,                0.69808,                0.87126,                 0.6756,                0.84691,                 1.7502,                  1.066,             0.00012167,             0.00012167,             0.00012167
                     40,                0.58364,                 0.9438,                0.94622,                0.84808,                0.74546,                0.84284,                0.63292,                0.92266,                 1.7913,                 1.1003,             0.00011266,             0.00011266,             0.00011266
                     41,                0.44039,                0.90377,                0.87004,                0.76861,                0.79909,                 0.8641,                0.65486,                 0.8941,                 1.7181,                 1.0898,             0.00010365,             0.00010365,             0.00010365
                     42,                0.43652,                0.89246,                0.86611,                0.79957,                0.76573,                0.86503,                0.68831,                0.83535,                 1.6219,                 1.0648,              9.464e-05,              9.464e-05,              9.464e-05
                     43,                0.42284,                0.85162,                0.84915,                0.83012,                0.76701,                0.82634,                0.65283,                0.86403,                 1.6429,                   1.07,             8.5631e-05,             8.5631e-05,             8.5631e-05
                     44,                0.43178,                0.85589,                0.85881,                0.80845,                0.78819,                 0.8657,                0.69358,                0.85471,                 1.5791,                 1.0651,             7.6622e-05,             7.6622e-05,             7.6622e-05
                     45,                0.40837,                0.81644,                 0.8489,                0.83288,                0.75691,                0.86915,                0.68406,                0.84429,                  1.495,                 1.0624,             6.7613e-05,             6.7613e-05,             6.7613e-05
                     46,                0.40504,                0.82348,                0.85081,                0.86013,                 0.7649,                0.91573,                0.70967,                0.84548,                 1.5056,                  1.054,             5.8604e-05,             5.8604e-05,             5.8604e-05
                     47,                0.39226,                0.79502,                0.83455,                0.78382,                0.79906,                0.91569,                0.70958,                0.83111,                 1.5163,                 1.0494,             4.9595e-05,             4.9595e-05,             4.9595e-05
                     48,                0.38758,                0.79331,                0.84444,                0.86795,                0.75542,                0.91574,                0.70737,                0.85741,                 1.5512,                 1.0634,             4.0586e-05,             4.0586e-05,             4.0586e-05
                     49,                0.38024,                 0.7699,                0.84625,                0.79088,                0.79818,                0.91535,                0.71015,                0.85849,                 1.5614,                 1.0633,             3.1577e-05,             3.1577e-05,             3.1577e-05
                     50,                0.35884,                0.76671,                0.82924,                0.80403,                 0.7924,                0.88437,                0.69217,                0.86576,                 1.5487,                 1.0652,             2.2568e-05,             2.2568e-05,             2.2568e-05
